"","Store","Store_Sales","Store_Sales_Share","Cummulative_Share"
"1",20,301397792.46,"4.47",4.47
"2",4,299543953.38,"4.45",8.92
"3",14,288999911.34,"4.29",13.21
"4",13,286517703.8,"4.25",17.46
"5",2,275382440.98,"4.09",21.55
"6",10,271617713.89,"4.03",25.58
"7",27,253855916.88,"3.77",29.35
"8",6,223756130.64,"3.32",32.67
"9",1,222402808.85,"3.30",35.97
"10",39,207445542.47,"3.08",39.05
"11",19,206634862.1,"3.07",42.12
"12",31,199613905.5,"2.96",45.08
"13",23,198750617.85,"2.95",48.03
"14",24,194016021.28,"2.88",50.91
"15",11,193962786.8,"2.88",53.79
"16",28,189263680.58,"2.81",56.6
"17",41,181341934.89,"2.69",59.29
"18",32,166819246.16,"2.48",61.77
"19",18,155114734.21,"2.30",64.07
"20",22,147075648.57,"2.18",66.25
"21",12,144287230.15,"2.14",68.39
"22",26,143416393.79,"2.13",70.52
"23",34,138249763,"2.05",72.57
"24",40,137870309.79,"2.05",74.62
"25",35,131520672.08,"1.95",76.57
"26",8,129951181.13,"1.93",78.5
"27",17,127782138.83,"1.90",80.4
"28",45,112395341.42,"1.67",82.07
"29",21,108117878.92,"1.60",83.67
"30",25,101061179.17,"1.50",85.17
"31",43,90565435.41,"1.34",86.51
"32",15,89133683.92,"1.32",87.83
"33",7,81598275.14,"1.21",89.04
"34",42,79565752.43,"1.18",90.22
"35",9,77789218.99,"1.15",91.37
"36",29,77141554.31,"1.15",92.52
"37",16,74252425.4,"1.10",93.62
"38",37,74202740.32,"1.10",94.72
"39",30,62716885.12,"0.93",95.65
"40",3,57586735.07,"0.85",96.5
"41",38,55159626.42,"0.82",97.32
"42",36,53412214.97,"0.79",98.11
"43",5,45475688.9,"0.67",98.78
"44",44,43293087.84,"0.64",99.42
"45",33,37160221.96,"0.55",99.97
